序号,name,date,city,亮点标签
1,斑马超市,0729,北京,
2,小鹿驾到,0806,北京,宠物品类仓店
3,飞利浦,0814,上海,
4,飞科,0815,上海,最强工区
5,邮氧森林,0818,广州,
6,名创优品,0819,广州,
7,小米,0821,北京,14000家门店
8,百果园,0911,深圳,
9,嗨特购,0916,北京,
10,锅圈,0917,上海,
11,玩具反斗城,0918,上海,
12,小天才,0923,北京,电商运营团队转型
13,好想来,0924,上海,
14,八马茶业,1010,深圳,
15,酒易淘,1015,南京,首创酒类24小时无人仓
16,罗森,1023,上海,日系企业文化
17,全家,1023,上海,
18,鸣鸣很忙,1030,广州,
19,苏泊尔,1107,杭州,老牌企业转型
20,孩子王,1113,南京,
21,菜老包,1120,重庆,食材夫妇代运营
22,玫瑰之约,1120,重庆,浓浓阿里味儿
23,晨光文具,1124,上海,
24,TT美妆,1210,昆明,
25,千姿鲜花坊,1218,西安,
26,周大生,1224,深圳,即时零售新品类
